timestamp,mid,cash,inventory,pnl,trade_side,trade_price,trade_quantity,best_bid,best_ask
2025-04-01 00:00:02,82517.45,99917.42373775,0.001,99999.94118775,bid,82517.5,0.001,82517.4,82517.5
2025-04-01 00:00:04,82517.45,99834.84747549999,0.002,99999.88237549999,bid,82517.5,0.001,82517.4,82517.5
2025-04-01 00:00:04,82517.45,99752.27121324999,0.003,99999.82356324999,bid,82517.5,0.001,82517.4,82517.5
2025-04-01 00:00:04,82525.75,99669.68664518998,0.004,99999.78964518999,bid,82525.8,0.001,82525.7,82525.8
2025-04-01 00:00:04,82525.75,99587.10207712998,0.005,99999.73082712998,bid,82525.8,0.001,82525.7,82525.8
2025-04-01 00:00:05,82526.04999999999,99504.51690864998,0.006,99999.67320864998,bid,82526.4,0.001,82525.7,82526.4
2025-04-01 00:00:05,82525.0,99421.93174016998,0.007,99999.60674016998,bid,82526.4,0.001,82523.6,82526.4
2025-04-01 00:00:05,82480.45,99339.39150311999,0.008,99999.23510311998,bid,82481.5,0.001,82479.4,82481.5
2025-04-01 00:00:05,82480.9,99256.85126606999,0.009000000000000001,99999.17936606999,bid,82481.5,0.001,82480.3,82481.5
2025-04-01 00:00:05,82481.3,99174.31102902,0.010000000000000002,99999.12402902,bid,82481.5,0.001,82481.1,82481.5
2025-04-01 00:00:05,82481.3,99998.54366132,0,99998.54366132,ask,82481.1,0.010000000000000002,82481.1,82481.5
